Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ
Region103,392,2,18,-4,-5.8896107673645
Region104,56,6,34,-8,-4.04174852371216
Region105,600,-42,-86,6,-5.24056005477905
Region106,16,-48,-4,-8,-3.51898431777954
Region108,56,-32,34,-6,-5.04302072525024
Region109,24,-26,42,-8,-4.19697570800781
Region110,16,22,-80,-6,-3.75761461257935
Region111,16,-4,-64,-6,-3.5259850025177
Region116,16,4,6,-4,-3.8486328125
Region118,8,26,20,-6,-3.33125853538513
Region119,8,8,24,-6,-3.30023598670959
Region120,208,-6,-42,0,-4.5084547996521
Region123,16,36,-20,-4,-3.99096298217773
Region124,2408,-62,-24,8,-8.46068096160889
Region125,32,26,30,-2,-3.79044270515442
Region126,16,4,30,-2,-3.31491374969482
Region127,16,-8,-102,0,-3.48070478439331
Region128,24,10,-60,-2,-3.70360231399536
Region129,88,8,-40,0,-4.15674591064453
Region131,48,28,-76,2,-4.49145030975342
Region132,440,64,-14,8,-4.94730567932129
Region134,8,10,66,0,-3.31008124351501
Region135,280,62,-28,6,-6.39798021316528
Region136,16,34,-18,2,-3.58194899559021
Region137,16,28,-8,2,-4.27275228500366
Region142,56,-26,28,6,-5.00965690612793
Region143,8,30,34,4,-4.0417652130127
Region144,24,52,-58,6,-3.7950963973999
Region145,8,12,-22,6,-3.6822350025177
Region146,64,38,-20,8,-3.76684212684631
Region149,40,32,30,8,-3.97517204284668
Region150,40,12,-46,10,-3.80254936218262
Region151,368,2,-38,16,-4.85116672515869
Region152,24,60,0,10,-3.64508652687073
Region153,48,38,4,8,-4.1511344909668
Region154,40,-10,24,10,-4.13686227798462
Region156,56,-62,2,12,-4.5824089050293
Region157,16,4,12,10,-3.95382785797119
Region159,8,28,-62,12,-3.62391662597656
Region160,24,8,-50,14,-3.33553910255432
Region161,56,-10,-48,14,-4.62508392333984
Region162,8,-52,-6,12,-3.25812268257141
Region167,40,4,68,14,-3.67286539077759
Region168,48,52,-8,14,-3.81182765960693
Region169,8,-66,-6,14,-3.51660370826721
Region171,8,16,32,14,-3.76464533805847
Region172,40,0,34,16,-4.03709268569946
Region173,24,8,16,16,-4.18142127990723
Region176,8,36,16,18,-3.52412748336792
Region178,536,4,-44,28,-5.82895517349243
Region179,32,-12,-86,24,-3.45484232902527
Region180,32,24,-56,22,-6.78977060317993
Region181,168,10,64,26,-4.71993970870972
Region182,16,32,-84,24,-3.43740177154541
Region183,8,8,-72,24,-3.33537459373474
Region185,8,-62,-30,24,-3.53601098060608
Region186,96,6,-14,26,-4.23035573959351
Region187,24,-62,-4,26,-3.530109167099
Region189,1240,14,-86,34,-5.44581985473633
Region190,192,-8,-90,32,-3.98509001731873
Region191,8,-8,-72,26,-3.27067565917969
Region193,16,44,-26,26,-3.84137964248657
Region195,232,16,-74,30,-5.23252725601196
Region201,8,6,58,30,-3.27691078186035
Region202,24,2,2,32,-3.59766292572021
Region208,112,10,-12,36,-4.04511642456055
Region209,8,10,-2,34,-3.31422352790833
Region211,8,56,12,34,-3.62596392631531
Region216,8,12,-42,36,-3.75593614578247
Region217,8,-42,-12,36,-3.34647464752197
Region218,64,-16,-86,40,-3.81406354904175
Region224,8,-32,-10,42,-3.5752420425415
Region227,16,16,22,44,-3.86889481544495
Region228,8,20,2,46,-5.20607614517212
Region229,8,10,-50,48,-3.85320591926575
Region232,16,6,-30,50,-3.46592116355896
Region233,16,10,-20,52,-3.71001863479614
Region234,32,44,-10,50,-3.98719763755798
Region236,48,20,-40,52,-4.19156169891357
Region241,8,4,-40,54,-3.45960783958435
Region247,8,50,-10,58,-3.28802275657654
